X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Gas.Volume Fraction.Trnavg, kla [ s^-1 ], Liquid.Velocity.Trnavg Axial [ m s^-1 ], Liquid.Velocity.Trnavg Radial [ m s^-1 ], Ostar [ kg m^-3 ], Radius [ m ]
-0.409907967,0.0500997454,0.409907967,0.00292671798,0.0211154297,0.0136670331,-0.00848101266,-0.199666813,0.0212322939,0.580989897
0.450288594,0.0600118935,-0.450288594,0.00368818594,0.0219728015,0.0137196137,-0.0329260156,-0.314410388,0.0212805122,0.638784289
0.471630365,0.0656781867,-0.471630365,0.00425475324,0.0231418256,0.0144013548,-0.0365709886,-0.328485638,0.0213586986,0.668991446
-0.476916492,0.0675253347,0.476916492,0.00451861927,0.0249590948,0.0159833636,-0.0256261006,-0.257855237,0.0214278903,0.678394318
-0.542696595,0.0869665965,0.542696595,0.0031468845,0.029083658,0.0182010923,-0.0246549938,-0.263768137,0.0215622745,0.768810928
-0.567349136,0.0948222652,0.567349136,0.00238309847,0.0308156274,0.0190682951,-0.0248197727,-0.262663543,0.021608647,0.80446732
0.570004344,0.0955196023,-0.570004284,0.00360061554,0.0291106347,0.017584255,-0.0322676115,-0.301383525,0.0216482151,0.806324542
0.572277665,0.0962854698,-0.572277606,0.000588630559,0.0292549487,0.0176556744,-0.0320815109,-0.299333245,0.0216538049,0.809548318
0.586259842,0.101380758,-0.586259842,0.00368342595,0.0298700649,0.0179336723,-0.0275346469,-0.277018219,0.0216810033,0.829121232
0.00845838711,0.101843454,-0.00845838245,0.00586731918,0.059199214,0.027535839,-0.00359039265,0.00582453609,0.0200025644,0.0148555543
0.00411137007,0.101908624,-0.00411137333,0.00689331023,0.0591869019,0.0275424868,-0.00338097941,0.00806895271,0.02000352,0.0165581014
-0.609663188,0.109835282,0.609663188,0.00331033813,0.0330352262,0.0200676862,-0.0151074957,-0.211186275,0.0216710661,0.862696528
-0.0792040899,0.11022,0.0792040899,0.0133748353,0.0578662083,0.0293547884,0.0185174029,0.114409313,0.0200308636,0.140391409
0.0774328932,0.110455036,-0.0774328858,0.00945064239,0.0596082583,0.0304441731,0.0222750362,0.0552865006,0.0200028606,0.109753273
-0.161588863,0.114795603,0.161588863,0.00836468674,0.0537367091,0.0299131498,0.054775551,0.148397103,0.020171525,0.234927073
0.124261625,0.116344981,-0.124261633,0.00400701398,0.0597916059,0.0320820659,0.0403073095,0.0924594402,0.0200032089,0.177403703
-0.183500081,0.116485886,0.183500081,0.00952692609,0.0534850843,0.0306003541,0.0631892085,0.156966135,0.0202279277,0.263998598
0.126337886,0.116488419,-0.126337886,0.000429758569,0.059779048,0.0321495645,0.0413470753,0.0928881764,0.0200055353,0.179554194
0.129477307,0.116945118,-0.129477307,0.0100728115,0.059874393,0.0323517211,0.0418716148,0.0914072543,0.0200127959,0.183438882
-0.282520264,0.121043034,0.282520294,0.00756819453,0.0538903363,0.0344318189,0.0796776339,0.044867266,0.0206093695,0.39955616
-0.283955097,0.12111973,0.283955127,0.000101859434,0.0538958199,0.0344834104,0.0799240321,0.043149583,0.0206150841,0.401629597
-0.284157217,0.121126831,0.284157217,9.22676045e-05,0.0539030917,0.0344921835,0.0798819363,0.042784974,0.0206159391,0.401893079
-0.285431057,0.121340327,0.285431057,0.00692137377,0.0540543608,0.0346077308,0.0793995857,0.0405799225,0.0206212867,0.403666198
0.246445134,0.127816737,-0.246445149,0.0153780989,0.0582815334,0.0366063491,0.069957301,0.0621683411,0.020330891,0.360518545
-0.659039378,0.128126115,0.659039378,0.00294038886,0.0356838852,0.0211480539,-0.00390061969,-0.157284126,0.021746017,0.934262455
0.673876822,0.133797973,-0.673876882,0.0036926209,0.0338268541,0.0195900891,0.00039498182,-0.140180022,0.0218574479,0.954199791
0.316354334,0.136149168,-0.316354305,0.00883228984,0.062066704,0.040558368,0.0486116037,-0.0639815331,0.0206113551,0.452557683
-0.378420025,0.136377454,0.378420025,0.0081891939,0.064804554,0.0432182923,0.0432218611,-0.129577175,0.0210281648,0.537449539
